baris,nama_usaha,kolom_masalah,nilai_asli,tindakan,confidence_akhir
4,Warteg Bahari 1,npwp,,Diisi NULL,low
7,RM Ayam Goreng Sr,npwp,,Diisi NULL,low
9,Warteg Bahari 2,npwp,,Diisi NULL,low
11,Es Teh Manja,npwp,,Diisi NULL,low
14,Soto Seger Makmur,npwp,,Diisi NULL,low
16,Warteg Mbah Joyo,npwp,,Diisi NULL,low
17,Depot Bu Rini,npwp,,Diisi NULL,low
19,Cafe Our Place,npwp,,Diisi NULL,low
21,Warteg Dewi,npwp,,Diisi NULL,low
9,Warteg Bahari 2,nama_usaha,Warteg Bahari 2,Kemungkinan duplikat dari 'Warteg Bahari 1',low
